"","Actual","Predicted","Profit","Signals"
"2022-03-28",455.910004,421.667265540081,-0.0751085480895016,"Sell"
"2022-03-29",461.549988,422.181495222066,-0.0852962708297895,"Sell"
"2022-03-30",458.700012,422.783210221054,-0.0783012880735341,"Sell"
"2022-03-31",451.640015,423.414525044752,-0.0624955473780337,"Sell"
"2022-04-01",452.920013,424.014456544788,-0.0638204442849639,"Sell"
"2022-04-04",456.799988,424.587397760688,-0.0705179314481769,"Sell"
"2022-04-05",451.029999,425.150557892862,-0.0573785361606015,"Sell"
"2022-04-06",446.519989,425.642809861448,-0.0467553069355462,"Sell"
"2022-04-07",448.769989,426.060874531531,-0.05060301496335,"Sell"
"2022-04-08",447.570007,426.419001121051,-0.0472574246445191,"Sell"
"2022-04-11",439.920013,426.736069687333,-0.0299689555443503,"Hold"
"2022-04-12",438.290009,426.949764151213,-0.0258738383625508,"Hold"
"2022-04-13",443.309998,427.023507139451,-0.036738379314758,"Hold"
"2022-04-14",437.790009,427.02798778945,-0.0245826103595489,"Hold"
"2022-04-18",437.970001,426.949638993392,-0.0251623672430664,"Hold"
"2022-04-19",445.040009,426.800957759723,-0.0409829473113216,"Sell"
"2022-04-20",444.709991,426.623527774529,-0.0406702426109214,"Sell"
"2022-04-21",438.059998,426.430959950864,-0.0265466787705547,"Hold"
"2022-04-22",426.040009,426.198041245651,0.00037093287558141,"Hold"
"2022-04-25",428.51001,425.877386907792,-0.0061436676641651,"Hold"
"2022-04-26",416.100006,425.503308953963,0.0225986609429724,"Buy"
"2022-04-27",417.269989,425.031614157505,0.0186009666693415,"Buy"
"2022-04-28",427.809998,424.49463078363,-0.00774962537544415,"Hold"
"2022-04-29",412,423.953842611992,0.029014181097067,"Buy"
"2022-05-02",414.480011,423.350982418939,0.0214026519578995,"Buy"
"2022-05-03",416.380005,422.710393400693,0.0152033919128581,"Buy"
"2022-05-04",429.059998,422.049422431267,-0.0163393828401888,"Hold"
"2022-05-05",413.809998,421.445004023341,0.0184505112497099,"Buy"
"2022-05-06",411.339996,420.831542962835,0.0230746998957897,"Buy"
"2022-05-09",398.170013,420.200009112951,0.055328114608548,"Buy"
"2022-05-10",399.089996,419.49409396994,0.0511265583563774,"Buy"
"2022-05-11",392.75,418.730762676464,0.0661508916014366,"Buy"
